"X","Y","T","DOY","NAME","POP","N"
9.43852628,54.78499143,2020-03-14,74,"Flensburg",89504,4
9.43852628,54.78499143,2020-03-19,79,"Flensburg",89504,4
9.43852628,54.78499143,2020-03-21,81,"Flensburg",89504,1
9.43852628,54.78499143,2020-03-27,87,"Flensburg",89504,1
9.43852628,54.78499143,2020-04-04,95,"Flensburg",89504,1
9.43852628,54.78499143,2020-04-06,97,"Flensburg",89504,1
9.43852628,54.78499143,2020-04-07,98,"Flensburg",89504,1
9.43852628,54.78499143,2020-04-09,100,"Flensburg",89504,1
9.43852628,54.78499143,2020-05-29,150,"Flensburg",89504,1
9.43852628,54.78499143,2020-06-25,177,"Flensburg",89504,2
9.43852628,54.78499143,2020-03-18,78,"Flensburg",89504,2
9.43852628,54.78499143,2020-03-28,88,"Flensburg",89504,2
9.43852628,54.78499143,2020-05-21,142,"Flensburg",89504,4
9.43852628,54.78499143,2020-06-18,170,"Flensburg",89504,2
9.43852628,54.78499143,2020-03-20,80,"Flensburg",89504,2
9.43852628,54.78499143,2020-05-05,126,"Flensburg",89504,1
9.43852628,54.78499143,2020-03-29,89,"Flensburg",89504,1
9.43852628,54.78499143,2020-04-03,94,"Flensburg",89504,2
9.43852628,54.78499143,2020-05-17,138,"Flensburg",89504,1
9.43852628,54.78499143,2020-05-22,143,"Flensburg",89504,1
9.43852628,54.78499143,2020-05-30,151,"Flensburg",89504,1
9.43852628,54.78499143,2020-06-06,158,"Flensburg",89504,1
9.43852628,54.78499143,2020-06-10,162,"Flensburg",89504,1
9.43852628,54.78499143,2020-03-24,84,"Flensburg",89504,1
9.43852628,54.78499143,2020-03-26,86,"Flensburg",89504,4
9.43852628,54.78499143,2020-04-10,101,"Flensburg",89504,1
9.43852628,54.78499143,2020-05-26,147,"Flensburg",89504,1
9.43852628,54.78499143,2020-03-31,91,"Flensburg",89504,2
9.43852628,54.78499143,2020-03-30,90,"Flensburg",89504,1
10.13238827,54.32478117,2020-06-11,163,"Kiel",247548,2
10.13238827,54.32478117,2020-05-04,125,"Kiel",247548,5
10.13238827,54.32478117,2020-04-13,104,"Kiel",247548,3
10.13238827,54.32478117,2020-04-20,111,"Kiel",247548,14
10.13238827,54.32478117,2020-03-10,70,"Kiel",247548,3
10.13238827,54.32478117,2020-03-11,71,"Kiel",247548,4
10.13238827,54.32478117,2020-03-13,73,"Kiel",247548,1
10.13238827,54.32478117,2020-03-14,74,"Kiel",247548,1
10.13238827,54.32478117,2020-03-16,76,"Kiel",247548,5
10.13238827,54.32478117,2020-03-18,78,"Kiel",247548,5
10.13238827,54.32478117,2020-03-20,80,"Kiel",247548,3
10.13238827,54.32478117,2020-03-21,81,"Kiel",247548,2
10.13238827,54.32478117,2020-03-23,83,"Kiel",247548,11
10.13238827,54.32478117,2020-03-25,85,"Kiel",247548,6
10.13238827,54.32478117,2020-03-27,87,"Kiel",247548,12
10.13238827,54.32478117,2020-03-28,88,"Kiel",247548,11
10.13238827,54.32478117,2020-03-29,89,"Kiel",247548,14
10.13238827,54.32478117,2020-04-01,92,"Kiel",247548,12
10.13238827,54.32478117,2020-04-02,93,"Kiel",247548,10
10.13238827,54.32478117,2020-04-04,95,"Kiel",247548,3
10.13238827,54.32478117,2020-04-05,96,"Kiel",247548,4
10.13238827,54.32478117,2020-04-06,97,"Kiel",247548,4
10.13238827,54.32478117,2020-04-09,100,"Kiel",247548,11
10.13238827,54.32478117,2020-04-10,101,"Kiel",247548,6
10.13238827,54.32478117,2020-04-15,106,"Kiel",247548,9
10.13238827,54.32478117,2020-04-16,107,"Kiel",247548,9
10.13238827,54.32478117,2020-04-17,108,"Kiel",247548,2
10.13238827,54.32478117,2020-04-22,113,"Kiel",247548,4
10.13238827,54.32478117,2020-04-30,121,"Kiel",247548,1
10.13238827,54.32478117,2020-05-02,123,"Kiel",247548,1
10.13238827,54.32478117,2020-05-06,127,"Kiel",247548,2
10.13238827,54.32478117,2020-05-08,129,"Kiel",247548,2
10.13238827,54.32478117,2020-05-11,132,"Kiel",247548,1
10.13238827,54.32478117,2020-05-30,151,"Kiel",247548,1
10.13238827,54.32478117,2020-06-26,178,"Kiel",247548,1
10.13238827,54.32478117,2020-06-30,182,"Kiel",247548,2
10.13238827,54.32478117,2020-03-12,72,"Kiel",247548,4
10.13238827,54.32478117,2020-03-17,77,"Kiel",247548,2
10.13238827,54.32478117,2020-03-19,79,"Kiel",247548,9
10.13238827,54.32478117,2020-03-22,82,"Kiel",247548,2
10.13238827,54.32478117,2020-03-24,84,"Kiel",247548,11
10.13238827,54.32478117,2020-03-26,86,"Kiel",247548,6
10.13238827,54.32478117,2020-03-31,91,"Kiel",247548,3
10.13238827,54.32478117,2020-04-03,94,"Kiel",247548,10
10.13238827,54.32478117,2020-04-07,98,"Kiel",247548,3
10.13238827,54.32478117,2020-04-08,99,"Kiel",247548,5
10.13238827,54.32478117,2020-04-14,105,"Kiel",247548,1
10.13238827,54.32478117,2020-04-18,109,"Kiel",247548,3
10.13238827,54.32478117,2020-04-21,112,"Kiel",247548,5
10.13238827,54.32478117,2020-04-24,115,"Kiel",247548,5
10.13238827,54.32478117,2020-04-25,116,"Kiel",247548,2
10.13238827,54.32478117,2020-04-27,118,"Kiel",247548,3
10.13238827,54.32478117,2020-04-29,120,"Kiel",247548,3
10.13238827,54.32478117,2020-05-09,130,"Kiel",247548,1
10.13238827,54.32478117,2020-06-27,179,"Kiel",247548,1
10.13238827,54.32478117,2020-03-30,90,"Kiel",247548,9
10.13238827,54.32478117,2020-04-11,102,"Kiel",247548,2
10.13238827,54.32478117,2020-04-28,119,"Kiel",247548,5
10.13238827,54.32478117,2020-04-23,114,"Kiel",247548,1
10.13238827,54.32478117,2020-04-26,117,"Kiel",247548,1
10.13238827,54.32478117,2020-06-29,181,"Kiel",247548,1
10.13238827,54.32478117,2020-05-05,126,"Kiel",247548,1
10.13238827,54.32478117,2020-06-25,177,"Kiel",247548,1
10.72758761,53.87251865,2020-03-23,83,"Lübeck",217198,23
10.72758761,53.87251865,2020-04-01,92,"Lübeck",217198,4
10.72758761,53.87251865,2020-04-13,104,"Lübeck",217198,10
10.72758761,53.87251865,2020-04-17,108,"Lübeck",217198,2
10.72758761,53.87251865,2020-04-30,121,"Lübeck",217198,1
10.72758761,53.87251865,2020-04-24,115,"Lübeck",217198,3
10.72758761,53.87251865,2020-06-21,173,"Lübeck",217198,2
10.72758761,53.87251865,2020-04-29,120,"Lübeck",217198,3
10.72758761,53.87251865,2020-03-11,71,"Lübeck",217198,5
10.72758761,53.87251865,2020-03-18,78,"Lübeck",217198,4
10.72758761,53.87251865,2020-03-19,79,"Lübeck",217198,4
10.72758761,53.87251865,2020-03-20,80,"Lübeck",217198,18
10.72758761,53.87251865,2020-03-25,85,"Lübeck",217198,8
10.72758761,53.87251865,2020-03-26,86,"Lübeck",217198,1
10.72758761,53.87251865,2020-03-28,88,"Lübeck",217198,8
10.72758761,53.87251865,2020-03-30,90,"Lübeck",217198,5
10.72758761,53.87251865,2020-03-31,91,"Lübeck",217198,4
10.72758761,53.87251865,2020-04-05,96,"Lübeck",217198,9
10.72758761,53.87251865,2020-04-09,100,"Lübeck",217198,13
10.72758761,53.87251865,2020-04-14,105,"Lübeck",217198,3
10.72758761,53.87251865,2020-04-16,107,"Lübeck",217198,1
10.72758761,53.87251865,2020-04-21,112,"Lübeck",217198,1
10.72758761,53.87251865,2020-03-08,68,"Lübeck",217198,1
10.72758761,53.87251865,2020-03-17,77,"Lübeck",217198,2
10.72758761,53.87251865,2020-03-24,84,"Lübeck",217198,2
10.72758761,53.87251865,2020-04-03,94,"Lübeck",217198,3
10.72758761,53.87251865,2020-04-07,98,"Lübeck",217198,6
10.72758761,53.87251865,2020-04-11,102,"Lübeck",217198,6
10.72758761,53.87251865,2020-04-12,103,"Lübeck",217198,1
10.72758761,53.87251865,2020-04-15,106,"Lübeck",217198,1
10.72758761,53.87251865,2020-04-18,109,"Lübeck",217198,1
10.72758761,53.87251865,2020-04-27,118,"Lübeck",217198,1
10.72758761,53.87251865,2020-05-04,125,"Lübeck",217198,1
10.72758761,53.87251865,2020-05-29,150,"Lübeck",217198,1
10.72758761,53.87251865,2020-02-29,60,"Lübeck",217198,1
10.72758761,53.87251865,2020-03-15,75,"Lübeck",217198,1
10.72758761,53.87251865,2020-03-27,87,"Lübeck",217198,3
10.72758761,53.87251865,2020-04-10,101,"Lübeck",217198,1
10.72758761,53.87251865,2020-04-28,119,"Lübeck",217198,1
10.72758761,53.87251865,2020-06-23,175,"Lübeck",217198,1
10.72758761,53.87251865,2020-03-12,72,"Lübeck",217198,1
10.72758761,53.87251865,2020-03-13,73,"Lübeck",217198,1
10.72758761,53.87251865,2020-05-19,140,"Lübeck",217198,1
9.98447214,54.08112825,2020-04-21,112,"Neumünster",79487,10
9.98447214,54.08112825,2020-04-17,108,"Neumünster",79487,3
9.98447214,54.08112825,2020-03-18,78,"Neumünster",79487,4
9.98447214,54.08112825,2020-03-23,83,"Neumünster",79487,3
9.98447214,54.08112825,2020-03-24,84,"Neumünster",79487,2
9.98447214,54.08112825,2020-03-25,85,"Neumünster",79487,1
9.98447214,54.08112825,2020-03-30,90,"Neumünster",79487,5
9.98447214,54.08112825,2020-04-02,93,"Neumünster",79487,4
9.98447214,54.08112825,2020-04-05,96,"Neumünster",79487,2
9.98447214,54.08112825,2020-04-09,100,"Neumünster",79487,5
9.98447214,54.08112825,2020-04-28,119,"Neumünster",79487,1
9.98447214,54.08112825,2020-05-07,128,"Neumünster",79487,2
9.98447214,54.08112825,2020-05-10,131,"Neumünster",79487,2
9.98447214,54.08112825,2020-03-20,80,"Neumünster",79487,2
9.98447214,54.08112825,2020-04-10,101,"Neumünster",79487,1
9.98447214,54.08112825,2020-04-23,114,"Neumünster",79487,2
9.98447214,54.08112825,2020-04-27,118,"Neumünster",79487,1
9.98447214,54.08112825,2020-05-02,123,"Neumünster",79487,1
9.98447214,54.08112825,2020-03-31,91,"Neumünster",79487,5
9.98447214,54.08112825,2020-04-16,107,"Neumünster",79487,3
9.98447214,54.08112825,2020-04-29,120,"Neumünster",79487,1
9.98447214,54.08112825,2020-05-04,125,"Neumünster",79487,1
9.98447214,54.08112825,2020-05-05,126,"Neumünster",79487,2
9.98447214,54.08112825,2020-05-08,129,"Neumünster",79487,3
9.98447214,54.08112825,2020-05-09,130,"Neumünster",79487,1
9.98447214,54.08112825,2020-05-12,133,"Neumünster",79487,1
9.98447214,54.08112825,2020-03-16,76,"Neumünster",79487,1
9.98447214,54.08112825,2020-03-27,87,"Neumünster",79487,2
9.98447214,54.08112825,2020-04-03,94,"Neumünster",79487,1
9.98447214,54.08112825,2020-04-08,99,"Neumünster",79487,2
9.98447214,54.08112825,2020-04-18,109,"Neumünster",79487,1
9.98447214,54.08112825,2020-04-06,97,"Neumünster",79487,2
9.98447214,54.08112825,2020-04-15,106,"Neumünster",79487,1
9.10758271,54.1341826,2020-03-18,78,"Dithmarschen",133210,5
9.10758271,54.1341826,2020-03-27,87,"Dithmarschen",133210,3
9.10758271,54.1341826,2020-04-02,93,"Dithmarschen",133210,4
9.10758271,54.1341826,2020-04-03,94,"Dithmarschen",133210,4
9.10758271,54.1341826,2020-04-08,99,"Dithmarschen",133210,6
9.10758271,54.1341826,2020-03-05,65,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-03-30,90,"Dithmarschen",133210,3
9.10758271,54.1341826,2020-04-04,95,"Dithmarschen",133210,2
9.10758271,54.1341826,2020-06-07,159,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-06-16,168,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-06-20,172,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-06-30,182,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-03-15,75,"Dithmarschen",133210,5
9.10758271,54.1341826,2020-03-25,85,"Dithmarschen",133210,2
9.10758271,54.1341826,2020-03-26,86,"Dithmarschen",133210,2
9.10758271,54.1341826,2020-04-07,98,"Dithmarschen",133210,2
9.10758271,54.1341826,2020-04-09,100,"Dithmarschen",133210,2
9.10758271,54.1341826,2020-04-14,105,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-06-24,176,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-03-20,80,"Dithmarschen",133210,3
9.10758271,54.1341826,2020-04-11,102,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-05-05,126,"Dithmarschen",133210,4
9.10758271,54.1341826,2020-06-29,181,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-03-19,79,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-03-24,84,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-04-05,96,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-06-10,162,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-06-12,164,"Dithmarschen",133210,1
9.10758271,54.1341826,2020-06-18,170,"Dithmarschen",133210,6
