"X","Y","DOY","T","N","NAME"
9.73860559,53.71763327,94,2020-04-03,41,"Pinneberg"
9.73860559,53.71763327,98,2020-04-07,47,"Pinneberg"
9.51938595,53.92892918,124,2020-05-03,48,"Steinburg"
10.33165933,53.7208162,104,2020-04-13,70,"Stormarn"
10.01586006,53.54741866,75,2020-03-15,80,"Hamburg"
10.01586006,53.54741866,77,2020-03-17,133,"Hamburg"
10.01586006,53.54741866,78,2020-03-18,134,"Hamburg"
10.01586006,53.54741866,80,2020-03-20,145,"Hamburg"
10.01586006,53.54741866,81,2020-03-21,107,"Hamburg"
10.01586006,53.54741866,83,2020-03-23,133,"Hamburg"
10.01586006,53.54741866,84,2020-03-24,207,"Hamburg"
10.01586006,53.54741866,86,2020-03-26,170,"Hamburg"
10.01586006,53.54741866,90,2020-03-30,70,"Hamburg"
10.01586006,53.54741866,91,2020-03-31,159,"Hamburg"
10.01586006,53.54741866,93,2020-04-02,167,"Hamburg"
10.01586006,53.54741866,96,2020-04-05,107,"Hamburg"
10.01586006,53.54741866,97,2020-04-06,96,"Hamburg"
10.01586006,53.54741866,98,2020-04-07,214,"Hamburg"
10.01586006,53.54741866,100,2020-04-09,114,"Hamburg"
10.01586006,53.54741866,101,2020-04-10,97,"Hamburg"
10.01586006,53.54741866,103,2020-04-12,46,"Hamburg"
10.01586006,53.54741866,108,2020-04-17,108,"Hamburg"
10.01586006,53.54741866,114,2020-04-23,48,"Hamburg"
10.01586006,53.54741866,74,2020-03-14,77,"Hamburg"
10.01586006,53.54741866,92,2020-04-01,138,"Hamburg"
10.01586006,53.54741866,99,2020-04-08,116,"Hamburg"
10.01586006,53.54741866,102,2020-04-11,79,"Hamburg"
10.01586006,53.54741866,72,2020-03-12,42,"Hamburg"
10.01586006,53.54741866,76,2020-03-16,80,"Hamburg"
10.01586006,53.54741866,79,2020-03-19,185,"Hamburg"
10.01586006,53.54741866,82,2020-03-22,150,"Hamburg"
10.01586006,53.54741866,85,2020-03-25,163,"Hamburg"
10.01586006,53.54741866,87,2020-03-27,141,"Hamburg"
10.01586006,53.54741866,88,2020-03-28,145,"Hamburg"
10.01586006,53.54741866,89,2020-03-29,115,"Hamburg"
10.01586006,53.54741866,94,2020-04-03,157,"Hamburg"
10.01586006,53.54741866,95,2020-04-04,112,"Hamburg"
10.01586006,53.54741866,105,2020-04-14,76,"Hamburg"
10.01586006,53.54741866,106,2020-04-15,83,"Hamburg"
10.01586006,53.54741866,112,2020-04-21,58,"Hamburg"
10.01586006,53.54741866,116,2020-04-25,44,"Hamburg"
10.01586006,53.54741866,113,2020-04-22,49,"Hamburg"
10.01586006,53.54741866,104,2020-04-13,41,"Hamburg"
10.01586006,53.54741866,107,2020-04-16,74,"Hamburg"
10.01586006,53.54741866,115,2020-04-24,42,"Hamburg"
10.01586006,53.54741866,120,2020-04-29,42,"Hamburg"
10.78489283,52.41075772,87,2020-03-27,63,"Wolfsburg"
10.08802527,51.56400468,170,2020-06-18,53,"Göttingen"
10.08802527,51.56400468,171,2020-06-19,41,"Göttingen"
10.08802527,51.56400468,106,2020-04-15,49,"Göttingen"
10.08802527,51.56400468,103,2020-04-12,54,"Göttingen"
10.08802527,51.56400468,109,2020-04-18,45,"Göttingen"
9.71976028,52.42192535,79,2020-03-19,59,"Hannover"
9.71976028,52.42192535,88,2020-03-28,47,"Hannover"
9.71976028,52.42192535,84,2020-03-24,70,"Hannover"
9.71976028,52.42192535,86,2020-03-26,84,"Hannover"
9.71976028,52.42192535,87,2020-03-27,53,"Hannover"
9.71976028,52.42192535,148,2020-05-27,60,"Hannover"
9.71976028,52.42192535,78,2020-03-18,72,"Hannover"
9.71976028,52.42192535,85,2020-03-25,102,"Hannover"
9.71976028,52.42192535,90,2020-03-30,61,"Hannover"
9.71976028,52.42192535,91,2020-03-31,45,"Hannover"
9.71976028,52.42192535,92,2020-04-01,80,"Hannover"
9.71976028,52.42192535,93,2020-04-02,51,"Hannover"
9.71976028,52.42192535,98,2020-04-07,77,"Hannover"
9.71976028,52.42192535,99,2020-04-08,79,"Hannover"
9.71976028,52.42192535,100,2020-04-09,75,"Hannover"
9.71976028,52.42192535,105,2020-04-14,42,"Hannover"
9.71976028,52.42192535,80,2020-03-20,61,"Hannover"
9.71976028,52.42192535,89,2020-03-29,49,"Hannover"
9.71976028,52.42192535,94,2020-04-03,59,"Hannover"
9.71976028,52.42192535,107,2020-04-16,49,"Hannover"
9.71976028,52.42192535,108,2020-04-17,52,"Hannover"
8.3893775,52.98807436,88,2020-03-28,44,"Oldenburg"
8.04509824,52.38159455,94,2020-04-03,49,"Osnabrück"
8.04509824,52.38159455,98,2020-04-07,72,"Osnabrück"
8.04509824,52.38159455,101,2020-04-10,49,"Osnabrück"
8.04509824,52.38159455,97,2020-04-06,46,"Osnabrück"
8.04509824,52.38159455,139,2020-05-18,45,"Osnabrück"
8.04509824,52.38159455,143,2020-05-22,53,"Osnabrück"
8.78079381,53.11911624,107,2020-04-16,44,"Bremen"
8.78079381,53.11911624,113,2020-04-22,108,"Bremen"
8.78079381,53.11911624,127,2020-05-06,46,"Bremen"
6.81011215,51.23549702,91,2020-03-31,46,"Düsseldorf"
6.81011215,51.23549702,76,2020-03-16,42,"Düsseldorf"
6.81011215,51.23549702,93,2020-04-02,46,"Düsseldorf"
6.81011215,51.23549702,90,2020-03-30,54,"Düsseldorf"
6.81011215,51.23549702,99,2020-04-08,45,"Düsseldorf"
6.81011215,51.23549702,77,2020-03-17,63,"Düsseldorf"
6.81011215,51.23549702,83,2020-03-23,46,"Düsseldorf"
6.81011215,51.23549702,97,2020-04-06,55,"Düsseldorf"
6.73469514,51.43963151,99,2020-04-08,41,"Duisburg"
6.73469514,51.43963151,177,2020-06-25,43,"Duisburg"
7.0171181,51.43384363,79,2020-03-19,73,"Essen"
7.0171181,51.43384363,83,2020-03-23,54,"Essen"
7.0171181,51.43384363,111,2020-04-20,172,"Essen"
7.0171181,51.43384363,81,2020-03-21,44,"Essen"
6.57968019,51.34524742,110,2020-04-19,42,"Krefeld"
7.16889878,51.25064786,91,2020-03-31,43,"Wuppertal"
7.16889878,51.25064786,99,2020-04-08,80,"Wuppertal"
7.16889878,51.25064786,108,2020-04-17,58,"Wuppertal"
6.2588116,51.65236955,102,2020-04-11,48,"Kleve"
6.96903888,51.25707712,99,2020-04-08,44,"Mettmann"
6.96903888,51.25707712,100,2020-04-09,47,"Mettmann"
6.64933395,51.14358626,84,2020-03-24,43,"Rhein-Kreis Neuss"
6.32614165,51.28282025,94,2020-04-03,44,"Viersen"
6.32614165,51.28282025,91,2020-03-31,45,"Viersen"
6.61836304,51.62703131,177,2020-06-25,48,"Wesel"
6.97332905,50.94563178,74,2020-03-14,89,"Köln"
6.97332905,50.94563178,76,2020-03-16,45,"Köln"
6.97332905,50.94563178,81,2020-03-21,59,"Köln"
6.97332905,50.94563178,93,2020-04-02,72,"Köln"
6.97332905,50.94563178,84,2020-03-24,89,"Köln"
6.97332905,50.94563178,90,2020-03-30,64,"Köln"
6.97332905,50.94563178,92,2020-04-01,122,"Köln"
6.97332905,50.94563178,100,2020-04-09,45,"Köln"
6.97332905,50.94563178,77,2020-03-17,100,"Köln"
6.97332905,50.94563178,79,2020-03-19,105,"Köln"
6.97332905,50.94563178,85,2020-03-25,77,"Köln"
6.97332905,50.94563178,88,2020-03-28,80,"Köln"
6.97332905,50.94563178,99,2020-04-08,70,"Köln"
6.97332905,50.94563178,73,2020-03-13,48,"Köln"
6.97332905,50.94563178,78,2020-03-18,90,"Köln"
6.97332905,50.94563178,80,2020-03-20,98,"Köln"
6.97332905,50.94563178,82,2020-03-22,47,"Köln"
6.97332905,50.94563178,83,2020-03-23,48,"Köln"
6.97332905,50.94563178,86,2020-03-26,61,"Köln"
6.97332905,50.94563178,87,2020-03-27,84,"Köln"
6.97332905,50.94563178,89,2020-03-29,56,"Köln"
6.97332905,50.94563178,91,2020-03-31,89,"Köln"
6.97332905,50.94563178,94,2020-04-03,50,"Köln"
6.97332905,50.94563178,98,2020-04-07,55,"Köln"
6.21678512,50.72828045,79,2020-03-19,49,"Aachen"
6.21678512,50.72828045,86,2020-03-26,53,"Aachen"
6.21678512,50.72828045,87,2020-03-27,41,"Aachen"
6.21678512,50.72828045,90,2020-03-30,49,"Aachen"
6.21678512,50.72828045,98,2020-04-07,81,"Aachen"
6.21678512,50.72828045,80,2020-03-20,114,"Aachen"
6.21678512,50.72828045,84,2020-03-24,58,"Aachen"
6.21678512,50.72828045,74,2020-03-14,53,"Aachen"
6.21678512,50.72828045,77,2020-03-17,58,"Aachen"
6.21678512,50.72828045,85,2020-03-25,83,"Aachen"
6.21678512,50.72828045,93,2020-04-02,86,"Aachen"
6.21678512,50.72828045,94,2020-04-03,70,"Aachen"
6.21678512,50.72828045,95,2020-04-04,51,"Aachen"
6.21678512,50.72828045,99,2020-04-08,51,"Aachen"
